_id,mes,ano,amparo_legal,descricao_infracao,quantidade_autos,mes_ano,id_infracao,id_state,data
6407641b305a576376e6f508,DEZEMBRO,2021,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo,149,DEZEMBRO/2021,1,11,12/1/2021
6407641b305a576376e6f34a,JANEIRO,2021,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo,172,JANEIRO/2021,1,6,1/1/2021
6407641b305a576376e6f35e,JANEIRO,2021,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - Por Eixo,443,JANEIRO/2021,1,11,1/1/2021
6407641b305a576376e6f36b,FEVEREIRO,2021,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - PBT/PBTC,32,FEVEREIRO/2021,1,6,2/1/2021
6407641b305a576376e6f371,FEVEREIRO,2021,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - PBT/PBTC,276,FEVEREIRO/2021,1,3,2/1/2021
6407641b305a576376e6f375,FEVEREIRO,2021,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo,33,FEVEREIRO/2021,1,4,2/1/2021
6407641b305a576376e6f388,MARÇO,2021,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - Por Eixo,1155,MARÇO/2021,1,5,3/1/2021
6407641b305a576376e6f38a,MARÇO,2021,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo,78,MARÇO/2021,1,6,3/1/2021
6407641b305a576376e6f38d,MARÇO,2021,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo,59,MARÇO/2021,1,10,3/1/2021
6407641b305a576376e6f391,MARÇO,2021,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - Por Eixo,3437,MARÇO/2021,1,3,3/1/2021
6407641b305a576376e6f3ca,MAIO,2021,"Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.",Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos,215,MAIO/2021,3,5,5/1/2021
6407641b305a576376e6f3d0,MAIO,2021,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo,135,MAIO/2021,1,5,5/1/2021
6407641b305a576376e6f3f4,JUNHO,2021,"Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.",Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos,962,JUNHO/2021,3,13,6/1/2021
6407641b305a576376e6f3f7,JUNHO,2021,"Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.",Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos,804,JUNHO/2021,3,11,6/1/2021
6407641b305a576376e6f401,JUNHO,2021,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - PBT/PBTC,174,JUNHO/2021,1,6,6/1/2021
6407641b305a576376e6f406,JUNHO,2021,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - Por Eixo,52,JUNHO/2021,1,9,6/1/2021
6407641b305a576376e6f43c,JULHO,2021,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - PBT/PBTC,108,JULHO/2021,1,11,7/1/2021
6407641b305a576376e6f441,AGOSTO,2021,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo excedendo a CMT em até 600 kg,1,AGOSTO/2021,2,10,8/1/2021
6407641b305a576376e6f44d,AGOSTO,2021,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo,62,AGOSTO/2021,1,5,8/1/2021
6407641b305a576376e6f44e,AGOSTO,2021,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - PBT/PBTC,87,AGOSTO/2021,1,5,8/1/2021
6407641b305a576376e6f45a,AGOSTO,2021,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - Por Eixo,209,AGOSTO/2021,1,12,8/1/2021
6407641b305a576376e6f485,SETEMBRO,2021,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - Por Eixo,643,SETEMBRO/2021,1,10,9/1/2021
6407641b305a576376e6f4ad,OUTUBRO,2021,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - Por Eixo,1713,OUTUBRO/2021,1,3,10/1/2021
6407641b305a576376e6f4b0,OUTUBRO,2021,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo com excesso de peso - Por Eixo,235,OUTUBRO/2021,1,4,10/1/2021
6407641b305a576376e6f4bb,NOVEMBRO,2021,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo excedendo a CMT em até 600 kg,4,NOVEMBRO/2021,2,3,11/1/2021
6407641b305a576376e6f4bc,NOVEMBRO,2021,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",Transitar com o veículo excedendo a CMT entre 601 e 1000 kg,1,NOVEMBRO/2021,2,4,11/1/2021
